F2LRJ2FBGRX5,355748071468438,80:ed:2c:ca:b3:36,80:ed:2c:ca:b3:35,80:ed:2c:ca:b3:37,0x0007752A584CA8,cf48c376baf115b79f7f576147ffb7fac4e651c3,NL6J2,"iPhone8,2",CH/A,898600e615154a937113
C38QM9WTGRWQ,353335070375087,64:a5:c3:df:e2:5a,64:a5:c3:df:e2:59,64:a5:c3:df:e2:5b,0x000176CC2AB3AC,89e0c13952e15fc1a707c1825ecf0f2989642e14,MKU52,"iPhone8,2",ZP/A,898602a1191607146002
F2LRG80DGRWV,354988074114834,80:ed:2c:bc:97:e9,80:ed:2c:bc:97:f3,80:ed:2c:bc:97:ea,0x04082830078226,aadddc577884efa7c8e8668ad2ba4863a22f5fa8,ML6F2,"iPhone8,2",CH/A,89860116834010988982
F2LQLLNTGRWQ,353280074309569,68:db:ca:55:73:37,68:db:ca:55:73:36,68:db:ca:55:73:38,0x00030FF7CE292C,ca483eef8ecaba515e6c28905e318ee9b20f568e,ML6E2,"iPhone8,2",CH/A,898600b31613fa347102
FCDS24CDGRX2,355749072245049,84:a1:34:34:57:28,84:a1:34:34:57:0e,84:a1:34:34:57:05,0x000534A82C3A68,e7782191108c1b433e41d1ad7a729f736ddb6109,ML6H2,"iPhone8,2",CH/A,89860023045121936996
C38R30QNGRX2,354989071773085,c0:cc:f8:7a:26:b7,c0:cc:f8:7a:26:b6,c0:cc:f8:7a:26:b8,0x00044D49125B28,af4d552a634b199f3e2b201e1af74e9d1aa21835,ML6H2,"iPhone8,2",CH/A,89861114257350034177
F2LRM8L4GRX2,355749071897907,80:ed:2c:c4:48:ed,80:ed:2c:c4:48:ec,80:ed:2c:c4:48:ee,0x060D50189B8226,905c332be3ae7d143afbc2eb79737342e5808f95,ML6H2,"iPhone8,2",CH/A,89860316243793048576
F2LQKH0EGRWY,353278074201638,68:db:ca:1b:a6:ea,68:db:ca:1b:a6:e9,68:db:ca:1b:a6:eb,0x0004374B2CF8C8,8ff656f5bb3ff900fdfde270deffff2ccca05865,ML6G2,"iPhone8,2",CH/A,898600c31614f0737108
C37R3RXCGRX5,354990072523453,c0:cc:f8:85:14:f8,c0:cc:f8:85:14:f7,c0:cc:f8:85:14:f9,0x00068C492A4328,0cfe34f07451c3a982d35911de2aab97b1bae3ea,ML6J2,"iPhone8,2",CH/A,89860115811039620706
F2NR2YZJGRX5,354990071982189,c0:cc:f8:31:bd:36,c0:cc:f8:31:bd:35,c0:cc:f8:31:bd:37,0x0000B54FB6A2EC,0b2f69c4213799c3aa2f5da1d6c094853dc10a9a,ML6J2,"iPhone8,2",CH/A,89860061191607030548
C38R26ANGRWM,354990071865046,c0:cc:f8:38:9e:cc,c0:cc:f8:38:9e:cb,c0:cc:f8:38:9e:cd,0x00028D2CD3976C,1f17906dd01f5fc663263e5f94011fdab942c139,ML6D2,"iPhone8,2",CH/A,898600901615f1707916
C39RJ921GRX5,354984074000545,80:ed:2c:8b:a0:8d,80:ed:2c:8b:a0:8c,80:ed:2c:8b:a0:8e,0x00070F0B1516A8,218f34f2540d0e5a01e27208bf40a65ca4b1884c,ML6J2,"iPhone8,2",CH/A,89860028111554010054
F2PQNNTGGRX2,354989070060450,70:81:eb:42:66:af,70:81:eb:42:66:ae,70:81:eb:42:66:b0,0x0D689920C143BA,0b2328c69b86c7cdaed33884d62417430dd9dbcf,ML6H2,"iPhone8,2",CH/A,89860046188287430907
FCDS5501GRX2,355752072651612,84:a1:34:b8:9d:89,84:a1:34:b8:9d:53,84:a1:34:b8:9d:8a,0x00068D0A4B5F68,2f08083b34e265878afee71c95e88951c8c90870,ML6H2,"iPhone8,2",CH/A,89860072045829029852
F2LR85MFGRWM,355753070803320,80:ed:2c:03:bf:2a,80:ed:2c:03:c3:b4,80:ed:2c:03:c3:b5,0x15091C109B0226,c647f399f97cc9e98be4fee222f38e3e219889ad,ML6D2,"iPhone8,2",CH/A,898600501615f2192354
C39QJM10GRX2,353292073567352,7c:01:91:c6:51:fa,7c:01:91:c6:51:f9,7c:01:91:c6:51:fb,0x00010F4F3E472C,ae4edda7b8474203ccb617870821665ea1ed1b96,MKU82,"iPhone8,2",ZP/A,89860098176526324815
FCFRL75RGRX5,354983074261834,68:fb:7e:ec:30:2a,68:fb:7e:ec:30:29,68:fb:7e:ec:30:2b,0x187932302B8226,3c9bb91944d974b41f05be5f1e87d3e07b794755,ML6J2,"iPhone8,2",CH/A,898600b0031540032983
